time;PWV APEX;PWV UCSC;Humedad;Temperatura
1689228060;0.477441036;0.445722525;24.9;-9.8
1689249660;0.593098306;0.553125972;4.5;-9.3
1689271260;0.776559556;0.712581222;4.3;-4.2
1689292860;0.622558622;0.56855765;7.6;-3.6
1689314460;0.634542203;0.510059067;9.8;-7.6
1689336060;0.773861939;0.615135492;9.7;-7.5
1689357660;0.843923436;0.682997614;7.5;-3.4
1689379260;0.904282558;0.743662511;6.6;-3.6
1689400860;0.970917033;0.757435131;12.7;-8.2
1689422460;1.017183833;0.832951731;8.8;-8.9
1689444060;1.0918989;0.925111922;5.6;-4.4
1689465660;1.198791614;1.135960575;8.5;-4.7
1689487260;1.253654967;1.052705464;9.8;-7.2
1689508860;1.144059714;1.004807975;4.0;-7.7
1689530460;1.154446014;1.046541756;4.5;-3.2
1689552060;1.397708117;1.298915433;16.8;-4.5
1689573660;1.189020153;1.007219294;26.0;-8.3
1689595260;1.284668658;1.102173214;20.8;-9.7
1689616860;1.380954678;1.280484019;15.7;-5.0
1689638460;1.08091875;0.966227383;19.5;-4.7
1689660060;0.417326019;0.325098569;17.8;-8.2
1689681660;0.374854906;0.281979631;5.9;-7.2
1689703260;0.775630758;0.637860064;3.3;-2.3
1689724860;1.009333106;0.852558328;4.8;-2.7
1689746460;1.221850853;1.029859808;9.1;-7.2
1689768060;1.808160442;1.635373192;5.4;-6.3
1689789660;2.288295669;1.973428311;11.5;0.3
1689811260;2.0846092;1.827614244;13.3;0.0
1689832860;2.009065706;1.768102458;16.7;-3.7
1689854460;1.952340769;1.743378692;23.7;-3.4
1689876060;1.755715667;1.613984019;17.5;1.7
1689897660;1.677439294;1.561666558;14.5;1.9
1689919260;1.726805017;1.551668286;16.7;-1.3
1689940860;1.604283589;1.536058192;18.2;-2.2
1689962460;1.665056086;1.611014869;14.4;1.5
1689984060;1.679342778;1.566749286;15.2;0.0
1690005660;1.655129522;1.528186019;20.5;-4.9
1690027260;1.659240833;1.563835047;21.8;-3.8
1690048860;1.068748744;0.985502919;19.5;0.0
1690070460;1.197234;1.124544203;19.0;-0.3
1690092060;0.772602536;0.643606922;15.2;-2.2
1690113660;0.565595947;0.483563903;7.0;-1.8
1690135260;0.689013897;0.596229956;5.4;1.8
1690156860;0.742246828;0.661018506;8.4;0.3
1690178460;0.630623931;0.512487789;15.5;-4.1
