time;PWV APEX;PWV UCSC;Humedad;Temperatura
1690232460;1.075979367;0.930097006;9.367777778;-0.198333333
1690243260;1.162779094;1.013329361;17.62611111;-3.549444444
1690254060;0.950189711;0.725798622;20.81055556;-6.238333333
1690264860;0.847914583;0.680236206;19.72555556;-8.652777778
1690275660;1.208012161;1.120782172;22.65666667;-9.45
1690286460;1.579869278;1.51305865;21.26777778;-8.487222222
1690297260;1.802912628;1.627498467;14.65555556;-3.906666667
1690308060;1.537359067;1.445787667;15.63222222;-1.621666667
1690318860;1.205113822;1.135961906;16.99055556;-1.842777778
1690329660;1.177558539;1.108248006;27.08;-4.911666667
1690340460;1.305321889;1.210632511;32.12111111;-7.675
1690351260;1.36554;1.310645706;45.69055556;-9.100555556
1690362060;1.287495272;1.188219056;48.86222222;-8.978333333
1690372860;1.04220435;0.899023506;39.89388889;-8.484444444
1690383660;0.917632322;0.735750556;31.74;-5.026666667
1690394460;0.987612128;0.793741833;19.04833333;-1.534444444
1690405260;1.132100683;1.106473539;22.18277778;-2.717777778
1690416060;1.078113417;1.026585839;29.22444444;-5.471666667
1690426860;1.0938635;0.909672611;38.31555556;-7.932777778
1690437660;1.175966906;1.0127391;37.82055556;-8.507777778
1690448460;1.078899189;0.919678694;43.57222222;-10.21611111
1690459260;0.83875285;0.736105506;37.60888889;-10.72944444
1690470060;0.756965567;0.673101833;24.34888889;-6.705
1690480860;0.964365161;0.858640506;19.09777778;-3.731111111
1690491660;1.169894511;1.181651456;22;-3.613888889
1690502460;1.352334817;1.199019361;31.79388889;-6.362222222
1690513260;1.0781793;0.82019675;24.63444444;-6.154444444
1690524060;0.918325222;0.732130922;11.87222222;-5.274444444
1690534860;0.866800061;0.648611794;13.96777778;-5.151666667
1690545660;0.907476183;0.625379433;18.19833333;-5.583888889
1690556460;0.714634711;0.507799322;16.98222222;-3.151666667
1690567260;0.872688178;0.635608411;11.13833333;0.525555556
1690578060;1.096801283;1.275553;8.089444444;2.146666667
1690588860;1.193584761;1.177064072;13.29166667;-1.211666667
1690599660;1.047462989;0.913396717;13.32222222;-2.384444444
1690610460;0.770093639;0.575770239;16.30722222;-3.725
1690621260;0.536733078;0.441450933;18.45111111;-5.392777778
1690632060;0.442210139;0.269091361;18.13444444;-5.751666667
1690642860;0.426267483;0.300327933;9.996111111;-0.845555556
1690653660;0.508491183;0.468715567;4.584444444;3.373888889
1690664460;1.027494928;0.915506744;9.601666667;3.189444444
1690675260;0.933183;0.803288978;10.90888889;0.060555556
1690686060;0.808794917;0.707794811;11.45722222;-1.882777778
1690696860;0.687197444;0.579057856;9.679444444;-1.496111111
1690707660;0.575092828;0.473782589;9.910555556;-2.142777778
1690718460;0.489647633;0.398555394;9.711111111;-2.011111111
1690729260;0.4362459;0.347232094;6.641111111;1.258888889
1690740060;0.60143995;0.639429622;4.283888889;4.878888889
1690750860;0.916621139;0.931547961;5.701666667;5.498333333
1690761660;0.799039072;0.685510267;5.655555556;2.557777778
1690772460;0.7470879;0.633874222;5.859444444;1.143888889
